,collection,limit,values
0,semantic,3,"[0.07471169003567577, 0.07471169003567577, 0.07833698030634573, 0.1883303657033283, 0.12691740412979352, 0.11525436344013992, 0.09784718010915706, 0.20822974710672953, 0.2209741454439818, 0.14855311527947967, 0.13675213675213677, 0.28883123794319165, 0.21208770960014742, 0.21208770960014742, 0.21026433230346722, 0.3107186911640589, 0.24207149404216316, 0.19240724762726488, 0.4401580730146782, 0.24369660345905397, 0.4401580730146782, 0.25926426832566946, 0.21802721088435373, 0.21221589168657723, 0.2638383838383838, 0.17407407407407408, 0.23536555744474133, 0.30486078338839073, 0.22149837133550487, 0.19653429602888087, 0.3624144052751712, 0.5211575875486382, 0.5769489699744177, 0.31190315061282803, 0.5210859251449658, 0.4806805074971165, 0.22363038421432582, 0.3160052170672629, 0.4518478260869565, 0.26544175136825643, 0.22218322218322217, 0.3751106194690266, 0.2572468162522741, 0.1660070671378092, 0.31190315061282803, 0.26553243202187454, 0.5267527675276753, 0.20257841364672588, 0.37402885682574916, 0.3620860380679943, 0.23919685726756876, 0.27282506386984, 0.25684174740778515, 0.17996530789245446, 0.2051707779886148, 0.19548765825022987, 0.43830570902394106, 0.2631496062992126, 0.08526783485597324, 0.16025154505041744, 0.15739337518943494, 0.07965659158295349, 0.06674040023502575, 0.14325116359248405, 0.08944787063565289, 0.13259491130909382, 0.09969475321085065, 0.13561190738699008, 0.06547281993204983, 0.14855311527947967, 0.10055225591330624, 0.226882000520969, 0.2654271085960658, 0.11327698234719108, 0.14973018165235236, 0.2638383838383838, 0.19976998274870617, 0.1969872537659328, 0.5642452006980803, 0.4027202305890831, 0.25048271019835, 0.39395412130637636, 0.5062728440185715, 0.2327790973871734, 0.35132708042306926, 0.3296421942008577, 0.3559713813979086, 0.2608695652173913, 0.3803387334315169, 0.23458853603382165, 0.2635106108772231, 0.7774918743228603, 0.2522537025112685, 0.22855407047387608, 0.11053927053031998, 0.07833698030634573, 0.18940741754482004, 0.16363055289229786, 0.14212123999632048, 0.2748778606325534, 0.1869133816036471, 0.15130349237579932, 0.10524771073021837, 0.14866138763197587, 0.14866138763197587, 0.14320932317346483, 0.16658210722137662, 0.07471169003567577, 0.07833698030634573, 0.1883303657033283, 0.12691740412979352, 0.11525436344013992, 0.09784718010915706, 0.20822974710672953, 0.2209741454439818, 0.28883123794319165, 0.21026433230346722, 0.24207149404216316, 0.19240724762726488, 0.25926426832566946, 0.21802721088435373, 0.2638383838383838, 0.17407407407407408, 0.30486078338839073, 0.22149837133550487, 0.19653429602888087, 0.5769489699744177, 0.31190315061282803, 0.5210859251449658, 0.22363038421432582, 0.4518478260869565, 0.26544175136825643, 0.2572468162522741, 0.1660070671378092, 0.31190315061282803, 0.26553243202187454, 0.5267527675276753, 0.20257841364672588, 0.3620860380679943, 0.23919685726756876, 0.27282506386984, 0.25684174740778515, 0.17996530789245446, 0.2051707779886148, 0.19548765825022987, 0.43830570902394106, 0.08526783485597324, 0.07965659158295349, 0.06674040023502575, 0.14325116359248405, 0.13259491130909382, 0.09969475321085065, 0.13561190738699008, 0.06547281993204983, 0.14855311527947967, 0.11327698234719108, 0.14973018165235236, 0.2638383838383838, 0.19976998274870617, 0.5642452006980803, 0.25048271019835, 0.39395412130637636, 0.2327790973871734, 0.2608695652173913, 0.3803387334315169, 0.23458853603382165, 0.11053927053031998, 0.07833698030634573, 0.18940741754482004, 0.14212123999632048, 0.1869133816036471, 0.10524771073021837, 0.14320932317346483, 0.16658210722137662, 0.12400091345055948, 0.30486078338839073, 0.34923019151333085, 0.1611717652145714, 0.19653429602888087, 0.04883065437647596, 0.12400091345055948, 0.13437553391423201, 0.30486078338839073, 0.34923019151333085, 0.12257336343115124]"
1,semantic,5,"[0.0681775822865024, 0.04592955446699323, 0.11181379580127787, 0.06598634765220988, 0.07397813583878474, 0.09382522694973752, 0.12608227439155717, 0.14467057251516086, 0.10053178019751836, 0.05726153389704792, 0.2833778588649247, 0.1551504029362483, 0.15961115034689044, 0.17314487632508835, 0.29601682335477486, 0.14724831172863465, 0.18371033616085453, 0.23774198465525126, 0.12825854554425592, 0.18941786090195126, 0.18354857769899552, 0.20726884690226602, 0.19433635970600951, 0.1327325699573142, 0.13940056197315018, 0.1455487164089476, 0.09587348653323449, 0.16918912267749478, 0.11317693191805828, 0.16847441641122377, 0.23364587876144788, 0.29029198563782943, 0.15607252075141984, 0.1843466107617051, 0.4531601961044123, 0.16359330062595162, 0.18896028037383178, 0.2427161791323641, 0.25893401634345653, 0.16226555443387705, 0.2893591603379128, 0.18113495955671613, 0.09552639063833246, 0.25604986555854314, 0.37453183520599254, 0.18629460542252865, 0.1482606565409113, 0.17886537330981775, 0.191863544867041, 0.22043500911695754, 0.25921895780437676, 0.07740975065128396, 0.13303868299407995, 0.1829630118019384, 0.2136770232361192, 0.2501313715186548, 0.18301327490656014, 0.045909181836367274, 0.05714450967350126, 0.07763766454520299, 0.03985899641120384, 0.04959568733153639, 0.09541984732824428, 0.06569242434686703, 0.08951922131550487, 0.07268705064391245, 0.13142997784888014, 0.05027130545802745, 0.10121354272894147, 0.03973891737187803, 0.21822189566495223, 0.11259716506630087, 0.07742797626066109, 0.0717276533770253, 0.1327325699573142, 0.12809346052813494, 0.11222621550145792, 0.4984758543237606, 0.4216039498265279, 0.20578518206101504, 0.23447069116360456, 0.28594543324220273, 0.22612131071345573, 0.13993265993265994, 0.12478777589134125, 0.4539267015706806, 0.27775361868671183, 0.3696371961958436, 0.22138403174464746, 0.22033063034810269, 0.33844068595674465, 0.23357953046689528, 0.2312934349908913, 0.09947643979057591, 0.04592955446699323, 0.10681762244646813, 0.19628415300546448, 0.05641025641025641, 0.09055, 0.11124885814954978, 0.13681849551414768, 0.06580262658991418, 0.08406697738650094, 0.10053178019751836, 0.126401160490571, 0.07742797626066109, 0.0681775822865024, 0.11181379580127787, 0.06598634765220988, 0.09382522694973752, 0.12608227439155717, 0.14467057251516086, 0.10053178019751836, 0.2833778588649247, 0.1551504029362483, 0.15961115034689044, 0.29601682335477486, 0.18941786090195126, 0.18354857769899552, 0.20726884690226602, 0.19433635970600951, 0.1327325699573142, 0.1455487164089476, 0.09587348653323449, 0.16918912267749478, 0.11317693191805828, 0.23364587876144788, 0.29029198563782943, 0.15607252075141984, 0.1843466107617051, 0.4531601961044123, 0.18896028037383178, 0.16226555443387705, 0.2893591603379128, 0.18113495955671613, 0.23364587876144788, 0.25604986555854314, 0.37453183520599254, 0.18629460542252865, 0.1482606565409113, 0.17886537330981775, 0.191863544867041, 0.25921895780437676, 0.07740975065128396, 0.1829630118019384, 0.2136770232361192, 0.2501313715186548, 0.07763766454520299, 0.03985899641120384, 0.09541984732824428, 0.07268705064391245, 0.13142997784888014, 0.05027130545802745, 0.21822189566495223, 0.11259716506630087, 0.0717276533770253, 0.12809346052813494, 0.11222621550145792, 0.4984758543237606, 0.4216039498265279, 0.28594543324220273, 0.22612131071345573, 0.13993265993265994, 0.12478777589134125, 0.27775361868671183, 0.3696371961958436, 0.22138403174464746, 0.22033063034810269, 0.33844068595674465, 0.23357953046689528, 0.2312934349908913, 0.09947643979057591, 0.04592955446699323, 0.19628415300546448, 0.09055, 0.11124885814954978, 0.13681849551414768, 0.08406697738650094, 0.10053178019751836, 0.126401160490571, 0.04866383237169754, 0.12298254582633462, 0.1504033509152963, 0.20103986135181975, 0.12725729279209755, 0.04866383237169754, 0.12298254582633462, 0.07119653492149432, 0.1504033509152963, 0.20103986135181975, 0.06333265706363699]"
2,semantic,any,"[0.07471169003567577, 0.07471169003567577, 0.07833698030634573, 0.1883303657033283, 0.12691740412979352, 0.11525436344013992, 0.09784718010915706, 0.20822974710672953, 0.2209741454439818, 0.14855311527947967, 0.13675213675213677, 0.28883123794319165, 0.21208770960014742, 0.21208770960014742, 0.21026433230346722, 0.3107186911640589, 0.24207149404216316, 0.19240724762726488, 0.4401580730146782, 0.24369660345905397, 0.4401580730146782, 0.25926426832566946, 0.21802721088435373, 0.21221589168657723, 0.2638383838383838, 0.17407407407407408, 0.23536555744474133, 0.30486078338839073, 0.22149837133550487, 0.19653429602888087, 0.3624144052751712, 0.5211575875486382, 0.5769489699744177, 0.31190315061282803, 0.5210859251449658, 0.4806805074971165, 0.22363038421432582, 0.3160052170672629, 0.4518478260869565, 0.26544175136825643, 0.22218322218322217, 0.3751106194690266, 0.2572468162522741, 0.1660070671378092, 0.31190315061282803, 0.26553243202187454, 0.5267527675276753, 0.20257841364672588, 0.37402885682574916, 0.3620860380679943, 0.23919685726756876, 0.27282506386984, 0.25684174740778515, 0.17996530789245446, 0.2051707779886148, 0.19548765825022987, 0.43830570902394106, 0.2631496062992126, 0.08526783485597324, 0.16025154505041744, 0.15739337518943494, 0.07965659158295349, 0.06674040023502575, 0.14325116359248405, 0.08944787063565289, 0.13259491130909382, 0.09969475321085065, 0.13561190738699008, 0.06547281993204983, 0.14855311527947967, 0.10055225591330624, 0.226882000520969, 0.2654271085960658, 0.11327698234719108, 0.14973018165235236, 0.2638383838383838, 0.19976998274870617, 0.1969872537659328, 0.5642452006980803, 0.4027202305890831, 0.25048271019835, 0.39395412130637636, 0.5062728440185715, 0.2327790973871734, 0.35132708042306926, 0.3296421942008577, 0.3559713813979086, 0.2608695652173913, 0.3803387334315169, 0.23458853603382165, 0.2635106108772231, 0.7774918743228603, 0.2522537025112685, 0.22855407047387608, 0.11053927053031998, 0.07833698030634573, 0.18940741754482004, 0.16363055289229786, 0.14212123999632048, 0.2748778606325534, 0.1869133816036471, 0.15130349237579932, 0.10524771073021837, 0.14866138763197587, 0.14866138763197587, 0.14320932317346483, 0.16658210722137662, 0.07471169003567577, 0.07833698030634573, 0.1883303657033283, 0.12691740412979352, 0.11525436344013992, 0.09784718010915706, 0.20822974710672953, 0.2209741454439818, 0.28883123794319165, 0.21026433230346722, 0.24207149404216316, 0.19240724762726488, 0.25926426832566946, 0.21802721088435373, 0.2638383838383838, 0.17407407407407408, 0.30486078338839073, 0.22149837133550487, 0.19653429602888087, 0.5769489699744177, 0.31190315061282803, 0.5210859251449658, 0.22363038421432582, 0.4518478260869565, 0.26544175136825643, 0.2572468162522741, 0.1660070671378092, 0.31190315061282803, 0.26553243202187454, 0.5267527675276753, 0.20257841364672588, 0.3620860380679943, 0.23919685726756876, 0.27282506386984, 0.25684174740778515, 0.17996530789245446, 0.2051707779886148, 0.19548765825022987, 0.43830570902394106, 0.08526783485597324, 0.07965659158295349, 0.06674040023502575, 0.14325116359248405, 0.13259491130909382, 0.09969475321085065, 0.13561190738699008, 0.06547281993204983, 0.14855311527947967, 0.11327698234719108, 0.14973018165235236, 0.2638383838383838, 0.19976998274870617, 0.5642452006980803, 0.25048271019835, 0.39395412130637636, 0.2327790973871734, 0.2608695652173913, 0.3803387334315169, 0.23458853603382165, 0.11053927053031998, 0.07833698030634573, 0.18940741754482004, 0.14212123999632048, 0.1869133816036471, 0.10524771073021837, 0.14320932317346483, 0.16658210722137662, 0.12400091345055948, 0.30486078338839073, 0.34923019151333085, 0.1611717652145714, 0.19653429602888087, 0.04883065437647596, 0.12400091345055948, 0.13437553391423201, 0.30486078338839073, 0.34923019151333085, 0.12257336343115124, 0.0681775822865024, 0.04592955446699323, 0.11181379580127787, 0.06598634765220988, 0.07397813583878474, 0.09382522694973752, 0.12608227439155717, 0.14467057251516086, 0.10053178019751836, 0.05726153389704792, 0.2833778588649247, 0.1551504029362483, 0.15961115034689044, 0.17314487632508835, 0.29601682335477486, 0.14724831172863465, 0.18371033616085453, 0.23774198465525126, 0.12825854554425592, 0.18941786090195126, 0.18354857769899552, 0.20726884690226602, 0.19433635970600951, 0.1327325699573142, 0.13940056197315018, 0.1455487164089476, 0.09587348653323449, 0.16918912267749478, 0.11317693191805828, 0.16847441641122377, 0.23364587876144788, 0.29029198563782943, 0.15607252075141984, 0.1843466107617051, 0.4531601961044123, 0.16359330062595162, 0.18896028037383178, 0.2427161791323641, 0.25893401634345653, 0.16226555443387705, 0.2893591603379128, 0.18113495955671613, 0.09552639063833246, 0.25604986555854314, 0.37453183520599254, 0.18629460542252865, 0.1482606565409113, 0.17886537330981775, 0.191863544867041, 0.22043500911695754, 0.25921895780437676, 0.07740975065128396, 0.13303868299407995, 0.1829630118019384, 0.2136770232361192, 0.2501313715186548, 0.18301327490656014, 0.045909181836367274, 0.05714450967350126, 0.07763766454520299, 0.03985899641120384, 0.04959568733153639, 0.09541984732824428, 0.06569242434686703, 0.08951922131550487, 0.07268705064391245, 0.13142997784888014, 0.05027130545802745, 0.10121354272894147, 0.03973891737187803, 0.21822189566495223, 0.11259716506630087, 0.07742797626066109, 0.0717276533770253, 0.1327325699573142, 0.12809346052813494, 0.11222621550145792, 0.4984758543237606, 0.4216039498265279, 0.20578518206101504, 0.23447069116360456, 0.28594543324220273, 0.22612131071345573, 0.13993265993265994, 0.12478777589134125, 0.4539267015706806, 0.27775361868671183, 0.3696371961958436, 0.22138403174464746, 0.22033063034810269, 0.33844068595674465, 0.23357953046689528, 0.2312934349908913, 0.09947643979057591, 0.04592955446699323, 0.10681762244646813, 0.19628415300546448, 0.05641025641025641, 0.09055, 0.11124885814954978, 0.13681849551414768, 0.06580262658991418, 0.08406697738650094, 0.10053178019751836, 0.126401160490571, 0.07742797626066109, 0.0681775822865024, 0.11181379580127787, 0.06598634765220988, 0.09382522694973752, 0.12608227439155717, 0.14467057251516086, 0.10053178019751836, 0.2833778588649247, 0.1551504029362483, 0.15961115034689044, 0.29601682335477486, 0.18941786090195126, 0.18354857769899552, 0.20726884690226602, 0.19433635970600951, 0.1327325699573142, 0.1455487164089476, 0.09587348653323449, 0.16918912267749478, 0.11317693191805828, 0.23364587876144788, 0.29029198563782943, 0.15607252075141984, 0.1843466107617051, 0.4531601961044123, 0.18896028037383178, 0.16226555443387705, 0.2893591603379128, 0.18113495955671613, 0.23364587876144788, 0.25604986555854314, 0.37453183520599254, 0.18629460542252865, 0.1482606565409113, 0.17886537330981775, 0.191863544867041, 0.25921895780437676, 0.07740975065128396, 0.1829630118019384, 0.2136770232361192, 0.2501313715186548, 0.07763766454520299, 0.03985899641120384, 0.09541984732824428, 0.07268705064391245, 0.13142997784888014, 0.05027130545802745, 0.21822189566495223, 0.11259716506630087, 0.0717276533770253, 0.12809346052813494, 0.11222621550145792, 0.4984758543237606, 0.4216039498265279, 0.28594543324220273, 0.22612131071345573, 0.13993265993265994, 0.12478777589134125, 0.27775361868671183, 0.3696371961958436, 0.22138403174464746, 0.22033063034810269, 0.33844068595674465, 0.23357953046689528, 0.2312934349908913, 0.09947643979057591, 0.04592955446699323, 0.19628415300546448, 0.09055, 0.11124885814954978, 0.13681849551414768, 0.08406697738650094, 0.10053178019751836, 0.126401160490571, 0.04866383237169754, 0.12298254582633462, 0.1504033509152963, 0.20103986135181975, 0.12725729279209755, 0.04866383237169754, 0.12298254582633462, 0.07119653492149432, 0.1504033509152963, 0.20103986135181975, 0.06333265706363699]"
3,char,3,"[0.20410050870972715, 0.20410050870972715, 0.334408419623154, 0.33338974445760705, 0.42292067564678215, 0.2735732858902422, 0.4042971705250416, 0.44544188206160035, 0.43748079877112134, 0.3393618836376045, 0.33275921460558044, 0.4371786420566908, 0.28276756247053275, 0.4284776902887139, 0.3941729814476091, 0.37888441034975945, 0.3061746437705517, 0.28244648318042814, 0.2795381970031933, 0.39957321952520675, 0.2830344827586207, 0.29529884242853766, 0.4481119619751782, 0.28658823529411764, 0.330974047859791, 0.4215496887744151, 0.42294372294372296, 0.42048633527006674, 0.2264957264957265, 0.20635161829509194, 0.7029323558813729, 0.7029323558813729, 0.39129251700680273, 0.7885039054676547, 0.4136500214622979, 0.30128879537085745, 0.2615758506011768, 0.2921288253374315, 0.4359812420065369, 0.4300832510229999, 0.2535700981000869, 0.3727530747398297, 0.42204568023833167, 0.37959576515880655, 0.5100286532951289, 0.4352212134313302, 0.4480856044139776, 0.30677028451001054, 0.44966558051792144, 0.27253637318134094, 0.4373502466525722, 0.4233231283050376, 0.3580815607641241, 0.2618944947534857, 0.25868967241810453, 0.2610340479192938, 0.38957541191381495, 0.4071129707112971, 0.2019245693000155, 0.21588626178334105, 0.3327699847895893, 0.33698442580865995, 0.3295880149812734, 0.33480027081922814, 0.3354247922672545, 0.33407534246575343, 0.3324383285786206, 0.21050141911069065, 0.33950299914310195, 0.34293103448275863, 0.3324156916724019, 0.20351413292589762, 0.33260246247259234, 0.4251832686502803, 0.4251832686502803, 0.3312531624219936, 0.33574797843665766, 0.3306383695469092, 0.4878823529411765, 0.3506673785371062, 0.3676339506784193, 0.39447060002003403, 0.3071656349652973, 0.2613584422707743, 0.3053271028037383, 0.3053271028037383, 0.30795945184907075, 0.24896714538658274, 0.405446293494705, 0.3478092658864494, 0.2472543781537548, 0.3862241703193488, 0.22669185465051672, 0.2551850345668971, 0.3326046746258618, 0.334408419623154, 0.22879464285714285, 0.32393162393162395, 0.33647017045454547, 0.3347522560871786, 0.3294197719925132, 0.2127626215114456, 0.3354247922672545, 0.34075723830734966, 0.34075723830734966, 0.2046865301055245, 0.33260246247259234, 0.20410050870972715, 0.334408419623154, 0.33338974445760705, 0.2735732858902422, 0.44544188206160035, 0.43748079877112134, 0.3393618836376045, 0.4371786420566908, 0.28276756247053275, 0.4284776902887139, 0.37888441034975945, 0.3061746437705517, 0.2795381970031933, 0.39957321952520675, 0.2830344827586207, 0.4481119619751782, 0.330974047859791, 0.4215496887744151, 0.42048633527006674, 0.2264957264957265, 0.20635161829509194, 0.7029323558813729, 0.7029323558813729, 0.4136500214622979, 0.2615758506011768, 0.2921288253374315, 0.4359812420065369, 0.2535700981000869, 0.42204568023833167, 0.7029323558813729, 0.5100286532951289, 0.27253637318134094, 0.4373502466525722, 0.3580815607641241, 0.2618944947534857, 0.25868967241810453, 0.2610340479192938, 0.38957541191381495, 0.4071129707112971, 0.2019245693000155, 0.21588626178334105, 0.3327699847895893, 0.33698442580865995, 0.33480027081922814, 0.3354247922672545, 0.21050141911069065, 0.33950299914310195, 0.34293103448275863, 0.33260246247259234, 0.3312531624219936, 0.3306383695469092, 0.4878823529411765, 0.2613584422707743, 0.3053271028037383, 0.30795945184907075, 0.405446293494705, 0.3478092658864494, 0.2472543781537548, 0.3862241703193488, 0.22669185465051672, 0.32393162393162395, 0.33647017045454547, 0.2127626215114456, 0.3354247922672545, 0.34075723830734966, 0.34075723830734966, 0.33569142664645446, 0.42048633527006674, 0.19923312883435582, 0.20072771376591875, 0.33310958214465514, 0.19622926093514328, 0.33569142664645446, 0.20393833002595024, 0.42048633527006674, 0.33367020380663637, 0.19923312883435582, 0.33275921460558044, 0.29529884242853766, 0.4480856044139776, 0.3324156916724019, 0.3676339506784193, 0.334408419623154]"
4,char,5,"[0.20149406467458045, 0.20192701927019271, 0.19995939910678034, 0.23188745603751465, 0.22257286059031, 0.3071202012468555, 0.30961595713009826, 0.31047110055423593, 0.2047349459598559, 0.19925742574257427, 0.4125011946860365, 0.25374397157119893, 0.2827084596068924, 0.3155383507382067, 0.29698487621616415, 0.28914817089218353, 0.260968362174445, 0.2585375265290372, 0.29278183292781834, 0.25998463901689706, 0.34366552531987743, 0.3606497536046724, 0.2549367088607595, 0.19798387096774195, 0.23078730904817862, 0.2276062900407688, 0.22681369704004642, 0.16541436464088397, 0.2003633794286868, 0.4310448963156835, 0.4939299340964273, 0.32537536137275014, 0.49449403036976936, 0.3920642893018584, 0.23197736806165253, 0.3255208333333333, 0.21572671030216084, 0.4060878243512974, 0.3624517374517375, 0.27903579254930605, 0.24128395061728394, 0.32097017742544354, 0.24379333482442406, 0.4867798175730285, 0.2854899787568117, 0.3371155885471898, 0.22086432872830322, 0.3266267123287671, 0.2515602979665794, 0.3182244744744745, 0.35314285714285715, 0.3055840689796756, 0.2327427630942008, 0.24385026737967913, 0.3217094665024164, 0.2560563939634631, 0.32584693781258844, 0.2001033591731266, 0.20054750076041772, 0.19961476074614762, 0.20211455553274482, 0.19899270223044507, 0.20071029934043633, 0.20187793427230047, 0.19904101203835953, 0.20030333670374115, 0.20532752902155887, 0.20551924473493102, 0.2057941024314537, 0.19991721854304637, 0.14405867970660147, 0.22853169544559046, 0.22853169544559046, 0.2297029702970297, 0.2277365491651206, 0.20190456893931719, 0.19798285426122036, 0.6246816846229187, 0.4097469859059263, 0.3320788800240855, 0.381901364764268, 0.27042373482858967, 0.2634730538922156, 0.36385083713850835, 0.26930707099333995, 0.26900584795321636, 0.27221244356011326, 0.34511809839025126, 0.3911621666946168, 0.27064783543137855, 0.32202643171806167, 0.24291632145816072, 0.24644258133989694, 0.20175438596491227, 0.20145209121587074, 0.16922905525846701, 0.19423944239442395, 0.20163864652053629, 0.20174448435094922, 0.20008267879288963, 0.1991769547325103, 0.2003443735440089, 0.20331186752529898, 0.2050726879059697, 0.15121806298276885, 0.19909136799596164, 0.20149406467458045, 0.20192701927019271, 0.19995939910678034, 0.23188745603751465, 0.22257286059031, 0.3071202012468555, 0.30961595713009826, 0.31047110055423593, 0.2047349459598559, 0.19925742574257427, 0.4125011946860365, 0.29698487621616415, 0.28914817089218353, 0.260968362174445, 0.29278183292781834, 0.34366552531987743, 0.19798387096774195, 0.23078730904817862, 0.2276062900407688, 0.22681369704004642, 0.2003633794286868, 0.4310448963156835, 0.4939299340964273, 0.32537536137275014, 0.3920642893018584, 0.3255208333333333, 0.4060878243512974, 0.3624517374517375, 0.27903579254930605, 0.32097017742544354, 0.4939299340964273, 0.4867798175730285, 0.3371155885471898, 0.3266267123287671, 0.2515602979665794, 0.3182244744744745, 0.3055840689796756, 0.2327427630942008, 0.3217094665024164, 0.2560563939634631, 0.32584693781258844, 0.2001033591731266, 0.20054750076041772, 0.19961476074614762, 0.20211455553274482, 0.19899270223044507, 0.20071029934043633, 0.20187793427230047, 0.19904101203835953, 0.20030333670374115, 0.20532752902155887, 0.20551924473493102, 0.2057941024314537, 0.14405867970660147, 0.22853169544559046, 0.2297029702970297, 0.2277365491651206, 0.20190456893931719, 0.19798285426122036, 0.6246816846229187, 0.4097469859059263, 0.3320788800240855, 0.381901364764268, 0.2634730538922156, 0.36385083713850835, 0.26930707099333995, 0.26900584795321636, 0.27221244356011326, 0.34511809839025126, 0.3911621666946168, 0.27064783543137855, 0.32202643171806167, 0.24291632145816072, 0.24644258133989694, 0.20175438596491227, 0.20145209121587074, 0.20163864652053629, 0.20174448435094922, 0.20008267879288963, 0.1991769547325103, 0.2003443735440089, 0.20331186752529898, 0.2050726879059697, 0.15121806298276885, 0.19909136799596164, 0.14616721374782776, 0.22752678155565906, 0.20316326530612244, 0.1485321189807189, 0.2001008064516129, 0.14616721374782776, 0.20282922857724406, 0.20163901254552813, 0.22752678155565906, 0.19995962450792368, 0.20316326530612244, 0.16541436464088397, 0.20282922857724406]"
